Category,Partner Website/Brand,Coupon Amount,Rewards Percentage,Discount,Offer Summary,Terms and Condition,Offers Name,How to Use,Special Award,Festival Name,Tag,Offer Summary Cleaned,Offer Summary Normalized,Context Info,Personalized Offer,Formatted Email,Formatted Tweet,Formatted Blog,Formatted Push,Validated Offer
Wellness,1mg,1000,15,Buy 1 Get 1 Free,Limited time offer - grab now!,Offer valid till stock lasts.,Super Saver Deal,Discount auto-applied on cart.,No,,bonus,limited time offer grab,limited time offer grab from 1mg,"{'entities': {'1': 'CARDINAL'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'mg']}",Exclusive Wellness offer from 1mg! limited time offer grab from 1mg ,"Dear Valued Customer,

Exclusive Wellness offer from 1mg! limited time offer grab from 1mg 

Best Regards,
Your Bank",Exclusive Wellness offer from 1mg! limited time offer grab from 1mg  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from 1mg! limited time offer grab from 1mg </h2><p>Read more on our website...</p>,Exclusive Wellness offer from 1mg! limited time of,Exclusive Illness offer from my! limited time offer grab from my 
Home Needs,Amazon,2000,30,10% Off,Earn reward points with every purchase.,Valid for online purchase only.,Mega Cashback Offer,Apply coupon at checkout.,No,,shopping,earn reward points every purchase,earn reward points every purchase from Amazon,"{'entities': {'Amazon': 'ORG'}, 'sentiment': 0.0, 'keywords': ['earn', 'reward', 'points', 'every', 'purchase', 'Amazon']}",Exclusive Home Needs offer from Amazon! earn reward points every purchase from Amazon ,"Dear Valued Customer,

Exclusive Home Needs offer from Amazon! earn reward points every purchase from Amazon 

Best Regards,
Your Bank",Exclusive Home Needs offer from Amazon! earn reward points every purchase from Amazon  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Amazon! earn reward points every purchase from Amazon </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Amazon! earn rewar,Exclusive Some Needs offer from Amazon! earn reward points every purchase from Amazon 
Wellness,Apollo Pharmacy,1500,5,15% Off,Limited time offer - grab now!,Offer valid till stock lasts.,Super Saver Deal,Use code at partner website.,No,,bonus,limited time offer grab,limited time offer grab from Apollo Pharmacy,"{'entities': {'Apollo Pharmacy': 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'Apollo', 'Pharmacy']}",Exclusive Wellness offer from Apollo Pharmacy! limited time offer grab from Apollo Pharmacy ,"Dear Valued Customer,

Exclusive Wellness offer from Apollo Pharmacy! limited time offer grab from Apollo Pharmacy 

Best Regards,
Your Bank",Exclusive Wellness offer from Apollo Pharmacy! limited time offer grab from Apollo Pharmacy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from Apollo Pharmacy! limited time offer grab from Apollo Pharmacy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from Apollo Pharmacy! lim,Exclusive Illness offer from Apollo Pharmacy! limited time offer grab from Apollo Pharmacy 
Wellness,CureFit,100,25,100 Off,Special New Year Offer: Exclusive cashback on selected brands.,Terms and conditions apply as per the brand.,Mega Cashback Offer,Discount auto-applied on cart.,Yes,New Year,reward,special new year offer exclusive cashback selected brands,special new year offer exclusive cashback selected bands from CureFit,"{'entities': {'CureFit': 'GPE'}, 'sentiment': 0.24675324675324675, 'keywords': ['special', 'new', 'year', 'offer', 'exclusive', 'cashback', 'selected', 'bands', 'CureFit']}",Exclusive Wellness offer from CureFit! special new year offer exclusive cashback selected bands from CureFit ,"Dear Valued Customer,

Exclusive Wellness offer from CureFit! special new year offer exclusive cashback selected bands from CureFit 

Best Regards,
Your Bank",Exclusive Wellness offer from CureFit! special new year offer exclusive cashback selected bands from CureFit  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from CureFit! special new year offer exclusive cashback selected bands from CureFit </h2><p>Read more on our website...</p>,Exclusive Wellness offer from CureFit! special new,Exclusive Illness offer from CureFit! special new year offer exclusive cashback selected bands from CureFit 
Home Needs,IKEA,1000,10,10% Off,Limited time offer - grab now!,Cannot be clubbed with other offers.,Flash Sale Special,Use code at partner website.,No,,billing,limited time offer grab,limited time offer grab from IKEA,"{'entities': {'IKEA': 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'IKEA']}",Exclusive Home Needs offer from IKEA! limited time offer grab from IKEA ,"Dear Valued Customer,

Exclusive Home Needs offer from IKEA! limited time offer grab from IKEA 

Best Regards,
Your Bank",Exclusive Home Needs offer from IKEA! limited time offer grab from IKEA  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from IKEA! limited time offer grab from IKEA </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from IKEA! limited time,Exclusive Some Needs offer from IKEA! limited time offer grab from IKEA 
Home Needs,BigBasket,1500,35,Buy 1 Get 1 Free,Special Christmas Offer: Exclusive cashback on selected brands.,Cannot be clubbed with other offers.,Reward Booster,Redeem via mobile app.,Yes,Christmas,billing,special christmas offer exclusive cashback selected brands,special christmas offer exclusive cashback selected bands from BigBasket,"{'entities': {'BigBasket': 'ORG'}, 'sentiment': 0.35714285714285715, 'keywords': ['special', 'christmas', 'offer', 'exclusive', 'cashback', 'selected', 'bands', 'BigBasket']}",Exclusive Home Needs offer from BigBasket! special christmas offer exclusive cashback selected bands from BigBasket ,"Dear Valued Customer,

Exclusive Home Needs offer from BigBasket! special christmas offer exclusive cashback selected bands from BigBasket 

Best Regards,
Your Bank",Exclusive Home Needs offer from BigBasket! special christmas offer exclusive cashback selected bands from BigBasket  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from BigBasket! special christmas offer exclusive cashback selected bands from BigBasket </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from BigBasket! special,Exclusive Some Needs offer from BigBasket! special christmas offer exclusive cashback selected bands from BigBasket 
Electronics,Vijay Sales,2500,20,200 Off,Limited time offer - grab now!,Offer valid till stock lasts.,Festive Bonanza,Show QR code at store.,No,,redemption,limited time offer grab,limited time offer grab from Vijay Sales,"{'entities': {'Vijay': 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'Vijay', 'Sales']}",Exclusive Electronics offer from Vijay Sales! limited time offer grab from Vijay Sales ,"Dear Valued Customer,

Exclusive Electronics offer from Vijay Sales! limited time offer grab from Vijay Sales 

Best Regards,
Your Bank",Exclusive Electronics offer from Vijay Sales! limited time offer grab from Vijay Sales  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Vijay Sales! limited time offer grab from Vijay Sales </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Vijay Sales! limi,Exclusive Electronics offer from Jay Tales! limited time offer grab from Jay Tales 
Electronics,Vijay Sales,500,10,100 Off,Limited time offer - grab now!,Terms and conditions apply as per the brand.,Super Saver Deal,Discount auto-applied on cart.,No,,shopping,limited time offer grab,limited time offer grab from Vijay Sales,"{'entities': {'Vijay': 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'Vijay', 'Sales']}",Exclusive Electronics offer from Vijay Sales! limited time offer grab from Vijay Sales ,"Dear Valued Customer,

Exclusive Electronics offer from Vijay Sales! limited time offer grab from Vijay Sales 

Best Regards,
Your Bank",Exclusive Electronics offer from Vijay Sales! limited time offer grab from Vijay Sales  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Vijay Sales! limited time offer grab from Vijay Sales </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Vijay Sales! limi,Exclusive Electronics offer from Jay Tales! limited time offer grab from Jay Tales 
Home Needs,BigBasket,2000,30,15% Off,Special Eid Offer: Special discounts for loyal customers.,Cannot be clubbed with other offers.,Mega Cashback Offer,Show QR code at store.,Yes,Eid,shopping,special eid offer special discounts loyal customers,special did offer special discount loyal customers from BigBasket,"{'entities': {'BigBasket': 'ORG'}, 'sentiment': 0.34920634920634924, 'keywords': ['special', 'offer', 'special', 'discount', 'loyal', 'customers', 'BigBasket']}",Exclusive Home Needs offer from BigBasket! special did offer special discount loyal customers from BigBasket ,"Dear Valued Customer,

Exclusive Home Needs offer from BigBasket! special did offer special discount loyal customers from BigBasket 

Best Regards,
Your Bank",Exclusive Home Needs offer from BigBasket! special did offer special discount loyal customers from BigBasket  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from BigBasket! special did offer special discount loyal customers from BigBasket </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from BigBasket! special,Exclusive Some Needs offer from BigBasket! special did offer special discount loyal customers from BigBasket 
Dining,Domino's,2500,15,500 Off,Special Diwali Offer: Limited time offer - grab now!,Terms and conditions apply as per the brand.,Festive Bonanza,Show QR code at store.,Yes,Diwali,bonus,special diwali offer limited time offer grab,special dial offer limited time offer grab from Domino's,"{'entities': {'Domino': 'PERSON'}, 'sentiment': 0.14285714285714285, 'keywords': ['special', 'dial', 'offer', 'limited', 'time', 'offer', 'grab', 'Domino']}",Exclusive Dining offer from Domino's! special dial offer limited time offer grab from Domino's Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Domino's! special dial offer limited time offer grab from Domino's Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Domino's! special dial offer limited time offer grab from Domino's Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Domino's! special dial offer limited time offer grab from Domino's Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Domino's! special dial,Exclusive Dining offer from Coming's! special dial offer limited time offer grab from Coming's Haste the best with premium dining discount.
Home Needs,BigBasket,200,20,100 Off,Limited time offer - grab now!,Applicable only on select products.,Super Saver Deal,Apply coupon at checkout.,No,,shopping,limited time offer grab,limited time offer grab from BigBasket,"{'entities': {'BigBasket': 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'BigBasket']}",Exclusive Home Needs offer from BigBasket! limited time offer grab from BigBasket ,"Dear Valued Customer,

Exclusive Home Needs offer from BigBasket! limited time offer grab from BigBasket 

Best Regards,
Your Bank",Exclusive Home Needs offer from BigBasket! limited time offer grab from BigBasket  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from BigBasket! limited time offer grab from BigBasket </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from BigBasket! limited,Exclusive Some Needs offer from BigBasket! limited time offer grab from BigBasket 
Home Needs,Grofers,1000,35,200 Off,Limited time offer - grab now!,Offer valid till stock lasts.,Mega Cashback Offer,Show QR code at store.,No,,payment,limited time offer grab,limited time offer grab from Grofers,"{'entities': {'Grofers': 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'Grofers']}",Exclusive Home Needs offer from Grofers! limited time offer grab from Grofers ,"Dear Valued Customer,

Exclusive Home Needs offer from Grofers! limited time offer grab from Grofers 

Best Regards,
Your Bank",Exclusive Home Needs offer from Grofers! limited time offer grab from Grofers  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Grofers! limited time offer grab from Grofers </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Grofers! limited t,Exclusive Some Needs offer from Refers! limited time offer grab from Refers 
Home Needs,Grofers,1000,15,500 Off,Get exciting discounts on your favorite brands.,Terms and conditions apply as per the brand.,Super Saver Deal,Show QR code at store.,No,,payment,get exciting discounts favorite brands,get exciting discount favorite bands from Grofers,"{'entities': {'Grofers': 'ORG'}, 'sentiment': 0.4, 'keywords': ['get', 'exciting', 'discount', 'favorite', 'bands', 'Grofers']}",Exclusive Home Needs offer from Grofers! get exciting discount favorite bands from Grofers ,"Dear Valued Customer,

Exclusive Home Needs offer from Grofers! get exciting discount favorite bands from Grofers 

Best Regards,
Your Bank",Exclusive Home Needs offer from Grofers! get exciting discount favorite bands from Grofers  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Grofers! get exciting discount favorite bands from Grofers </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Grofers! get excit,Exclusive Some Needs offer from Refers! get exciting discount favorite bands from Refers 
